root - WARNING - 11/25/20 11:50:54 logging started
root - WARNING - 11/25/20 11:52:23 logging started
root - WARNING - 11/25/20 12:52:48 AVLR - 0
root - WARNING - 11/25/20 12:52:48 AVLR - 0
root - WARNING - 11/25/20 12:52:48 AVLR - 0
root - WARNING - 11/25/20 12:52:48 AVLR - 0
root - WARNING - 11/25/20 12:52:48 AVLR - 0
root - WARNING - 11/25/20 12:52:48 AVLR - 0
root - WARNING - 11/25/20 12:52:48 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:49 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:50 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:51 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:52 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:53 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:54 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:55 AVLR - 0
root - WARNING - 11/25/20 12:52:56 AVLR - 0
root - WARNING - 11/25/20 12:52:56 AVLR - 0
root - WARNING - 11/25/20 12:52:56 AVLR - 0
root - WARNING - 11/25/20 12:52:56 AVLR - 0
root - WARNING - 11/25/20 12:52:56 AVLR - 0
root - WARNING - 11/25/20 12:52:56 AVLR - 0
root - WARNING - 11/25/20 12:52:56 AVLR - 0
root - WARNING - 11/25/20 12:52:56 AVLR - 0
root - WARNING - 11/25/20 12:52:56 AVLR - 0
root - WARNING - 11/25/20 12:52:56 AVLR - 0
root - WARNING - 11/25/20 12:52:57 AVLR - 0
root - WARNING - 11/25/20 12:52:57 AVLR - 0
root - WARNING - 11/25/20 12:52:57 AVLR - 0
root - WARNING - 11/25/20 12:52:57 AVLR - 0
root - WARNING - 11/25/20 12:52:57 AVLR - 0
